测试编号:a11,测试场景:insert单条,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,37275.11,37275.04,0.21,0.24
64,243875.38,243874.85,0.26,0.30
128,368415.17,368414.10,0.35,0.41
256,434837.07,434834.94,0.59,0.74
512,465835.41,465831.15,1.10,1.61
1024,492339.00,492330.48,2.08,5.28
2048,489720.75,489703.71,4.17,12.30
测试编号:a12,测试场景:insert批量,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,3532.50,3532.44,2.26,2.66
64,11340.89,11340.35,5.64,9.56
128,11661.10,11660.03,10.97,18.28
256,11317.90,11315.76,22.61,56.84
512,10883.01,10878.75,47.02,110.66
1024,10451.23,10442.72,97.87,196.89
测试编号:b11,测试场景:update单库,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,30868.70,30868.63,0.26,0.28
64,190285.96,190285.42,0.34,0.33
128,307492.99,307491.92,0.42,0.46
256,358256.64,358254.51,0.71,0.81
512,377307.97,377303.72,1.36,1.73
1024,390677.42,390668.89,2.62,6.79
2048,411479.57,411462.56,4.97,16.12
测试编号:b12,测试场景:update跨库,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,14953.31,14953.24,0.53,0.54
64,43008.87,43008.34,1.49,1.39
128,54125.88,54124.82,2.36,3.25
256,54673.70,54671.57,4.68,7.43
512,46357.92,46353.65,11.04,18.28
1024,28257.62,28249.09,36.22,71.83
2048,13018.62,13001.58,157.32,287.38
测试编号:c11,测试场景:select1,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,63286.50,63286.43,0.13,0.14
64,383347.62,383347.09,0.17,0.20
128,567448.94,567447.87,0.22,0.30
256,716746.55,716744.42,0.36,0.55
512,755799.69,755795.43,0.68,0.97
1024,759553.66,759545.13,1.35,1.73
2048,746661.31,746644.26,2.74,3.36
测试编号:c12,测试场景:select单库,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,39848.66,39848.59,0.20,0.23
64,253158.10,253157.56,0.25,0.30
128,379783.96,379782.89,0.34,0.44
256,452510.22,452508.09,0.56,0.84
512,487650.42,487646.16,1.05,2.43
1024,504233.85,504225.32,2.03,7.17
2048,516489.70,516472.66,3.96,13.95
测试编号:c13,测试场景:select跨库,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,10750.56,10750.50,0.74,0.81
64,23499.59,23499.05,2.72,3.55
128,26248.43,26247.37,4.88,6.91
256,28076.59,28074.46,9.12,14.21
512,28321.46,28317.19,18.07,27.66
1024,28501.31,28492.79,35.90,51.02
2048,28645.41,28628.40,71.33,155.80
测试编号:c14,测试场景:selectjoin单库,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,23533.36,23533.29,0.34,0.38
64,90095.62,90095.09,0.71,0.92
128,87723.62,87722.55,1.46,2.48
192,88344.35,88342.75,2.17,4.41
256,88772.54,88770.41,2.88,7.30
测试编号:c15,测试场景:selectjoin跨库,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,2884.87,2884.81,2.77,3.19
64,3833.52,3832.99,16.69,17.63
128,4165.40,4164.34,30.66,223.34
192,4287.82,4286.22,44.71,231.53
256,4382.47,4380.34,58.31,235.74
测试编号:c16,测试场景:select单库,HotDB模式:noXA,测试表类型:route
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,3166.99,3166.92,2.52,2.71
64,11637.52,11636.98,5.50,6.55
128,13652.22,13651.15,9.37,12.52
256,14259.78,14257.65,17.95,18.61
512,13643.57,13639.31,37.49,244.38
测试编号:c17,测试场景:select跨库,HotDB模式:noXA,测试表类型:route
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,1069.69,1069.62,7.48,8.43
64,3282.34,3281.80,19.50,51.02
128,3305.46,3304.40,38.73,153.02
192,3324.66,3323.06,57.76,231.53
256,3330.66,3328.53,76.87,325.98
测试编号:c18,测试场景:select单条,HotDB模式:noXA,测试表类型:全局表
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,43779.46,43779.39,0.18,0.21
64,262370.38,262369.84,0.24,0.29
128,425908.53,425907.46,0.30,0.37
256,605488.01,605485.88,0.42,0.58
512,723237.46,723233.19,0.71,1.23
1024,749965.10,749956.57,1.36,2.35
2048,727351.45,727334.41,2.81,4.25
测试编号:a13,测试场景:insert单条,HotDB模式:noXA,测试表类型:全局表
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,14551.39,14551.32,0.55,0.58
64,39805.40,39804.86,1.61,1.96
128,37057.15,37056.08,3.45,5.99
256,39987.51,39985.37,6.40,15.27
512,38631.87,38627.60,13.25,36.89
测试编号:b13,测试场景:update单库,HotDB模式:noXA,测试表类型:全局表
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,12376.09,12376.02,0.65,0.67
64,34170.95,34170.42,1.87,1.89
128,34019.85,34018.78,3.76,5.57
256,35593.20,35591.07,7.19,12.98
512,33452.03,33447.76,15.30,33.12
1024,25888.19,25879.67,39.54,82.96
2048,13264.54,13247.50,154.41,179.94
测试编号:d12,测试场景:delete单条,HotDB模式:noXA,测试表类型:全局表
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,13548.03,13547.96,0.59,0.65
64,35375.91,35375.37,1.81,2.61
128,33160.81,33159.74,3.86,6.91
256,33998.79,33996.65,7.53,14.21
512,32568.33,32564.07,15.72,32.53
1024,27163.77,27155.26,37.68,75.82
2048,13345.68,13328.64,153.46,173.58
测试编号:a22,测试场景:insert批量,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,,,,
64,,,,
128,,,,
256,,,,
512,,,,
1024,,,,
测试编号:b21,测试场景:update单库,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,,,,
64,,,,
128,,,,
256,,,,
512,,,,
1024,,,,
2048,,,,
测试编号:b22,测试场景:update跨库,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,,,,
64,,,,
128,,,,
256,,,,
512,,,,
1024,,,,
2048,,,,
测试编号:c23,测试场景:select跨库,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,,,,
64,,,,
128,,,,
256,,,,
512,,,,
1024,,,,
2048,,,,
测试编号:c24,测试场景:selectjoin单库,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,,,,
64,,,,
128,,,,
192,,,,
256,,,,
测试编号:c25,测试场景:selectjoin跨库,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,ART(ms),95%RT(ms)
8,,,,
64,,,,
128,,,,
192,,,,
256,,,,
测试编号:e11,测试场景:转账,HotDB模式:noXA,测试表类型:crc32
并发数,QPS,TPS,交易数,事务数,查询数,测试时长(s),成功交易数,失败交易,失败事务,失败事务(%),失败交易(%)
8     ,38703.495770641515  ,15051.359466360589  ,258520    ,1809640   ,4653360   ,120   ,258520         ,0       ,0       ,0.0%      ,0.0%    
64    ,268460.5915227839   ,104401.36428375104  ,1790688   ,12534741  ,32232184  ,120   ,1790663        ,25      ,0       ,0.0%      ,0.0%    
128   ,409071.0340697365   ,159083.23629225447  ,2732258   ,19125623  ,49180156  ,120   ,2732197        ,61      ,0       ,0.0%      ,0.0%    
192   ,470962.46597464435  ,183152.19219019238  ,3143236   ,22002256  ,56577192  ,120   ,3143104        ,132     ,0       ,0.0%      ,0.0%    
256   ,505255.92223968334  ,196488.60452160612  ,3375959   ,23631095  ,60765614  ,120   ,3375753        ,206     ,0       ,0.0%      ,0.01%   
测试编号:e21,测试场景:转账,HotDB模式:XA,测试表类型:crc32
并发数,QPS,TPS,交易数,事务数,查询数,测试时长(s),成功交易数,失败交易,失败事务,失败事务(%),失败交易(%)
8     ,                    ,                    ,          ,          ,          ,      ,               ,        ,        ,          ,        
64    ,                    ,                    ,          ,          ,          ,      ,               ,        ,        ,          ,        
128   ,                    ,                    ,          ,          ,          ,      ,               ,        ,        ,          ,        
192   ,                    ,                    ,          ,          ,          ,      ,               ,        ,        ,          ,        
256   ,                    ,                    ,          ,          ,          ,      ,               ,        ,        ,          ,        
